feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	ruimtelijkJuist	ruimtelijkFout	ruimtelijkBlanco	ruimtelijkScore	ruimtelijkGroep
17ia75991	1	0	13	5	4	10	10-13	9	5	4	8	7-9	5	3	0	5	5-7	4	2	4	7	>=7	4	0	0	10	>=8
17ia45348	1	1	21	1	0	19	>=14	18	0	0	20	>=10	8	0	0	10	>=8	10	0	0	20	>=7	3	1	0	7	5-7
17ia60590	1	0	11	8	3	8	<10	10	5	3	9	7-9	6	2	0	7	5-7	4	3	3	6	4-6	1	3	0	0	<=4
17ia65228	1	0	9	7	6	6	<10	7	5	6	6	<=6	4	3	1	4	<=4	3	2	5	5	4-6	2	2	0	3	<=4
17ia25027	1	0	10	8	4	7	<10	10	4	4	10	>=10	6	2	0	7	5-7	4	2	4	7	>=7	0	4	0	0	<=4
17ia82255	1	1	13	4	5	11	10-13	12	3	3	12	>=10	5	3	0	5	5-7	7	0	3	14	>=7	1	1	2	2	<=4
17ia82599	1	0	9	11	2	5	<10	7	9	2	4	<=6	5	3	0	5	5-7	2	6	2	0	<4	2	2	0	3	<=4
17ia10896	1	1	15	3	4	13	10-13	11	3	4	11	>=10	5	3	0	5	5-7	6	0	4	12	>=7	4	0	0	10	>=8
17ia38285	1	1	14	3	5	12	10-13	10	3	5	10	>=10	4	3	1	4	<=4	6	0	4	12	>=7	4	0	0	10	>=8
17ia80547	1	0	8	6	8	5	<10	5	5	8	4	<=6	4	1	3	5	5-7	1	4	5	0	<4	3	1	0	7	5-7
17ia33574	1	0	7	6	9	5	<10	5	5	8	4	<=6	3	3	2	3	<=4	2	2	6	3	<4	2	1	1	4	<=4
17ia71004	1	0	8	4	10	6	<10	6	3	9	6	<=6	3	3	2	3	<=4	3	0	7	6	4-6	2	1	1	4	<=4
17ia57610	1	0	9	5	8	7	<10	5	5	8	4	<=6	3	4	1	2	<=4	2	1	7	3	<4	4	0	0	10	>=8
17ia35340	1	1	17	2	3	15	>=14	14	1	3	15	>=10	8	0	0	10	>=8	6	1	3	11	>=7	3	1	0	7	5-7
17ia68878	1	0	10	8	4	7	<10	9	6	3	8	7-9	5	2	1	5	5-7	4	4	2	5	4-6	1	2	1	1	<=4
17ia25874	1	0	8	9	5	5	<10	6	7	5	4	<=6	5	3	0	5	5-7	1	4	5	0	<4	2	2	0	3	<=4
17ia56924	1	1	17	0	5	15	>=14	13	0	5	14	>=10	7	0	1	9	>=8	6	0	4	12	>=7	4	0	0	10	>=8
17ia38250	1	0	9	4	9	7	<10	5	4	9	4	<=6	4	3	1	4	<=4	1	1	8	1	<4	4	0	0	10	>=8
17ia80720	1	1	14	5	3	11	10-13	12	3	3	12	>=10	7	1	0	8	>=8	5	2	3	9	>=7	2	2	0	3	<=4
17ia65575	1	1	13	3	6	11	10-13	10	3	5	10	>=10	6	1	1	7	5-7	4	2	4	7	>=7	3	0	1	8	>=8
17ia54975	1	1	19	3	0	16	>=14	16	2	0	17	>=10	7	1	0	8	>=8	9	1	0	17	>=7	3	1	0	7	5-7
17ia73529	1	1	16	4	2	13	10-13	13	3	2	13	>=10	6	1	1	7	5-7	7	2	1	13	>=7	3	1	0	7	5-7
17ia53954	1	0	9	5	8	7	<10	7	4	7	6	<=6	6	0	2	8	>=8	1	4	5	0	<4	2	1	1	4	<=4
17ia28461	1	0	7	11	4	3	<10	5	9	4	2	<=6	2	4	2	1	<=4	3	5	2	3	<4	2	2	0	3	<=4
17ia64734	1	1	15	2	5	13	10-13	12	1	5	13	>=10	6	1	1	7	5-7	6	0	4	12	>=7	3	1	0	7	5-7
17ia18585	1	0	5	12	5	1	<10	4	9	5	1	<=6	3	3	2	3	<=4	1	6	3	0	<4	1	3	0	0	<=4
17ia98562	1	1	13	3	6	11	10-13	10	2	6	10	>=10	5	2	1	5	5-7	5	0	5	10	>=7	3	1	0	7	5-7
17ia72564	1	1	13	4	5	11	10-13	10	3	5	10	>=10	4	2	2	4	<=4	6	1	3	11	>=7	3	1	0	7	5-7
17ia46453	1	1	14	4	4	12	10-13	10	4	4	10	>=10	6	1	1	7	5-7	4	3	3	6	4-6	4	0	0	10	>=8
17ia38918	1	0	6	16	0	1	<10	4	14	0	0	<=6	2	6	0	0	<=4	2	8	0	0	<4	2	2	0	3	<=4
17ia24288	1	1	17	1	4	15	>=14	13	1	4	14	>=10	7	1	0	8	>=8	6	0	4	12	>=7	4	0	0	10	>=8
17ia35517	1	0	9	9	4	5	<10	5	9	4	2	<=6	1	6	1	0	<=4	4	3	3	6	4-6	4	0	0	10	>=8
17ia39412	1	0	11	6	5	8	<10	8	5	5	7	7-9	4	4	0	3	<=4	4	1	5	7	>=7	3	1	0	7	5-7
17ia95270	1	0	13	6	3	10	10-13	9	6	3	8	7-9	4	2	2	4	<=4	5	4	1	7	>=7	4	0	0	10	>=8
17ia49353	1	0	9	6	7	6	<10	7	4	7	6	<=6	4	2	2	4	<=4	3	2	5	5	4-6	2	2	0	3	<=4
17ia15574	1	1	19	1	2	17	>=14	16	0	2	18	>=10	7	0	1	9	>=8	9	0	1	18	>=7	3	1	0	7	5-7
17ia38096	1	1	18	2	2	16	>=14	14	2	2	15	>=10	8	0	0	10	>=8	6	2	2	11	>=7	4	0	0	10	>=8
17ia23733	1	0	11	6	5	8	<10	9	4	5	9	7-9	6	2	0	7	5-7	3	2	5	5	4-6	2	2	0	3	<=4
17ia83999	1	1	22	0	0	20	>=14	18	0	0	20	>=10	8	0	0	10	>=8	10	0	0	20	>=7	4	0	0	10	>=8
17ia44679	1	1	14	3	5	12	10-13	10	3	5	10	>=10	5	2	1	5	5-7	5	1	4	9	>=7	4	0	0	10	>=8
17ia97021	1	1	16	3	3	14	>=14	13	2	3	14	>=10	8	0	0	10	>=8	5	2	3	9	>=7	3	1	0	7	5-7
17ia11231	1	0	8	5	9	6	<10	5	4	9	4	<=6	5	3	0	5	5-7	0	1	9	0	<4	3	1	0	7	5-7
17ia61640	1	1	16	2	4	14	>=14	13	1	4	14	>=10	7	1	0	8	>=8	6	0	4	12	>=7	3	1	0	7	5-7
17ia25396	1	1	18	2	2	16	>=14	14	2	2	15	>=10	7	1	0	8	>=8	7	1	2	13	>=7	4	0	0	10	>=8
17ia94326	1	0	5	8	9	2	<10	3	6	9	1	<=6	3	3	2	3	<=4	0	3	7	0	<4	2	2	0	3	<=4
17ia87346	1	0	11	6	5	8	<10	9	5	4	8	7-9	6	2	0	7	5-7	3	3	4	4	4-6	2	1	1	4	<=4
17ia85358	1	1	19	2	1	17	>=14	15	2	1	16	>=10	8	0	0	10	>=8	7	2	1	13	>=7	4	0	0	10	>=8
17ia84917	1	0	11	2	9	9	<10	8	2	8	8	7-9	5	1	2	6	5-7	3	1	6	5	4-6	3	0	1	8	>=8
17ia70045	1	0	10	1	11	9	<10	7	1	10	7	7-9	5	1	2	6	5-7	2	0	8	4	4-6	3	0	1	8	>=8
